price,nbr_reservations,nbr_visitors,marketing_spend,market_count,event_type,rating,trend_score,growth_rate_pct,capacity_min,capacity_max,event_type_encoded,category_name_encoded,city_encoded,country_encoded,venue_type_encoded,reservation_status_encoded,marketing_per_visitor,price_per_reservation,visitors_per_reservation,conversion_rate,month,quarter,year,day_of_week,season_encoded
8177.0,252,1608,15000.0,7.0,Birthday,2,0.0,0.0,100.0,200.0,0,2,4,0,0,2,9.322560596643878,32.3201581027668,6.355731225296442,15.661901802361717,3,1,2025,4,1
13333.0,126,4896,21000.0,0.0,Corporate Event,5,0.0,0.0,200.0,400.0,1,0,12,0,1,1,4.288339799877476,104.98425196850394,38.55118110236221,2.5730038799264854,3,1,2023,4,1
13130.0,176,3661,23000.0,10.0,Corporate Event,5,0.0,0.0,200.0,500.0,1,0,11,0,0,2,6.280720917531403,74.18079096045197,20.683615819209038,4.8061168760240305,7,3,2025,1,2
4276.0,229,3480,13000.0,20.0,Birthday,3,0.0,0.0,300.0,500.0,0,2,17,0,0,1,3.7345590347601263,18.591304347826085,15.130434782608695,6.578569376615915,1,1,2022,0,0
8194.0,298,962,22000.0,10.0,Birthday,4,0.0,0.0,300.0,500.0,0,0,10,0,1,2,22.84527518172378,27.40468227424749,3.217391304347826,30.944963655244027,2,1,2023,6,0
7702.0,203,1258,22000.0,0.0,Wedding,1,0.0,0.0,300.0,500.0,2,0,14,0,1,0,17.474185861795075,37.754901960784316,6.166666666666667,16.12390786338364,8,3,2025,4,2
3153.0,155,66,22000.0,3.0,Wedding,5,0.0,0.0,200.0,500.0,2,1,11,0,0,2,328.35820895522386,20.21153846153846,0.4230769230769231,231.34328358208953,11,4,2024,2,3
14672.0,229,3480,20000.0,1.0,Birthday,4,0.0,0.0,100.0,200.0,0,2,15,0,0,0,5.745475438092502,63.791304347826085,15.130434782608695,6.578569376615915,10,4,2024,2,3
12966.0,239,4101,15000.0,1.0,Corporate Event,4,0.0,0.0,100.0,200.0,1,2,15,0,0,2,3.6567528035104826,54.025,17.0875,5.826426133593369,6,2,2022,4,2
2080.0,203,1417,19000.0,7.0,Birthday,1,0.0,0.0,100.0,200.0,0,1,18,0,0,0,13.399153737658674,10.196078431372548,6.946078431372549,14.315937940761636,7,3,2025,4,2
13361.0,203,1417,25000.0,20.0,Corporate Event,2,0.0,0.0,200.0,400.0,1,2,8,0,1,2,17.63046544428773,65.49509803921569,6.946078431372549,14.315937940761636,9,3,2025,6,3
7046.0,202,1983,25000.0,20.0,Birthday,5,0.0,0.0,200.0,400.0,0,2,8,0,1,2,12.600806451612904,34.70935960591133,9.768472906403941,10.181451612903226,12,4,2025,5,0
2693.0,298,962,21000.0,7.0,Corporate Event,1,0.0,0.0,300.0,500.0,1,2,10,0,1,0,21.806853582554517,9.006688963210703,3.217391304347826,30.944963655244027,10,4,2022,4,3
6792.0,126,4896,23000.0,0.0,Corporate Event,2,0.0,0.0,200.0,400.0,1,0,0,0,1,2,4.696753114151521,53.48031496062992,38.55118110236221,2.5730038799264854,9,3,2022,0,3
7190.0,249,22215,24000.0,7.0,Wedding,4,0.0,0.0,300.0,500.0,2,2,10,0,1,1,1.0803024846957148,28.76,88.86,1.120813827871804,12,4,2022,2,0
12929.0,252,1608,26000.0,0.0,Wedding,1,0.0,0.0,200.0,400.0,2,0,7,0,1,2,16.159105034182723,51.10276679841897,6.355731225296442,15.661901802361717,7,3,2025,1,2
10233.0,252,1608,13000.0,3.0,Birthday,5,0.0,0.0,200.0,500.0,0,2,9,0,0,0,8.079552517091361,40.44664031620553,6.355731225296442,15.661901802361717,3,1,2023,3,1
4030.0,252,1608,13000.0,0.0,Wedding,3,0.0,0.0,200.0,400.0,2,2,6,0,1,0,8.079552517091361,15.928853754940711,6.355731225296442,15.661901802361717,1,1,2025,1,0
